Date,Spatial Amsterdam,Spatial Beverwijk,Spatial Driehuis,Spatial Heemskerk,Spatial IJmuiden,Spatial Velsen-Noord,Spatial Zaandam
2019-06-25 01:00:00+00:00,1.9926302215356282,8.938548799267547,7.21475618818912,6.4308961786074,9.199485975828287,9.856069412514977,3.7087192469385264
2019-06-25 02:00:00+00:00,1.9926302215356282,9.010863260504488,7.28983342239102,6.501421820997736,9.26857762883042,9.929100348849696,3.863627836153334
2019-06-25 03:00:00+00:00,1.9926302215356282,8.890946842991129,7.165335599848934,6.384471736137572,9.154005475952934,9.807995826972515,3.6067486069791985
2019-06-25 04:00:00+00:00,1.9926302215356282,8.923154124046238,7.198773359619528,6.415882316361839,9.184777388634554,9.840522210382096,3.675741508058063
2019-06-25 05:00:00+00:00,1.9926302215356282,8.88512319940412,7.159289464041358,6.378792150090732,9.148441372244777,9.802114484060406,3.594273475494813
2019-06-25 06:00:00+00:00,1.9926302215356282,8.801313372130215,7.072277683506242,6.29705549872098,9.068366662357851,9.717474288238307,3.41474006152387
2019-06-25 07:00:00+00:00,1.9926302215356282,8.714363841357226,6.982006247144434,6.212256809656411,8.985292174819573,9.629663281454896,3.228480924491779
2019-06-25 08:00:00+00:00,1.9926302215356282,8.679219418319105,6.945519131923062,6.177981742556346,8.951714018528621,9.594170655533121,3.1531962179686164
2019-06-25 09:00:00+00:00,1.9926302215356282,8.548972363486184,6.810295990209276,6.0509565659261355,8.827271629507973,9.462633142750983,2.8741871903352227
2019-06-25 10:00:00+00:00,1.9926302215356282,8.531400151967123,6.79205243259859,6.033819032376103,8.810482551362497,9.444886829790097,2.836544837073641
2019-06-25 11:00:00+00:00,1.9926302215356282,8.53266616144256,6.793366809948063,6.035053724994981,8.811692139125139,9.446165382597076,2.839256822178942
2019-06-25 12:00:00+00:00,1.9926302215356282,8.543756404447386,6.804880755529447,6.045869632336355,8.822288127925887,9.457365505186225,2.863013811701381
2019-06-25 13:00:00+00:00,1.9926302215356282,8.563556792643215,6.825437617275205,6.065180224895615,8.841206080533613,9.477362071087397,2.9054292587482933
2019-06-25 14:00:00+00:00,1.9926302215356282,8.595156389150112,6.8582444759180525,6.095998152662819,8.871397391089166,9.509274749149627,2.9731204069766126
2019-06-25 15:00:00+00:00,1.9926302215356282,8.557226745266032,6.81886573052784,6.059006761801222,8.8351581417204,9.470969307052496,2.8918693332217864
2019-06-25 16:00:00+00:00,1.9926302215356282,8.603360130550943,6.866761641142638,6.1039989608331515,8.87923551979109,9.51755977133886,2.990694070458965
2019-06-25 17:00:00+00:00,1.9926302215356282,8.680232225899456,6.94657063380264,6.178969496651449,8.952681688738735,9.595193497778705,3.1553658060528575
2019-06-25 18:00:00+00:00,1.9926302215356282,8.716946500687119,6.984687576937359,6.214775582598923,8.987759733855365,9.632271529181136,3.2340133741065933
2019-06-25 19:00:00+00:00,1.9926302215356282,9.08793791736907,7.369852715426939,6.576589907635054,9.342217331820088,10.006938643738659,4.028733489364075
2019-06-25 20:00:00+00:00,2.951455157852317,9.327973313911857,11.714835148613368,14.32913775601132,14.173042958661593,21.79179848667446,6.157632102876544
2019-06-25 21:00:00+00:00,2.1500711599009277,9.235503981825964,8.195591085618329,7.955049961928312,10.238780216699416,12.051259107676326,4.6099804098881805
2019-06-25 22:00:00+00:00,1.9926302215356282,10.886937381964533,9.237582929028129,8.33108811906128,11.06104154253491,11.823762182457742,7.882464323997166
2019-06-25 23:00:00+00:00,1.9926302215356282,13.683045909413888,12.140516743074288,11.058030237116144,13.732537075106874,14.647573911954549,13.872154627565529
2019-06-26 00:00:00+00:00,1.9926302215356282,13.348667486761563,11.793363397531467,10.731923222617976,13.413060755237767,14.309882544574897,13.15586512155336
2019-06-26 02:00:00+00:00,1.9926302215356282,12.210524968344028,10.611738160355204,9.621934558246283,12.325641356622267,13.16046357109956,10.717790511887527
2019-06-26 03:00:00+00:00,1.9926302215356282,11.378149058433948,9.747561340623669,8.810148855186103,11.530361594440155,12.319840671566118,8.934714544854053
2019-06-26 04:00:00+00:00,1.9926302215356282,9.965940808773887,8.281399694833482,7.432873932679611,10.18109063696783,10.893640586435675,5.909549399592606
2019-06-26 05:00:00+00:00,1.9926302215356282,9.637082187434466,7.9399770345343645,7.112150177999753,9.866888119743846,10.561523709294457,5.20508414863955
2019-06-26 06:00:00+00:00,1.9926302215356282,9.459081255188075,7.755175579198456,6.9385523957854485,9.696820080316328,10.38175918463302,4.823779042834193
2019-06-26 07:00:00+00:00,1.9926302215356282,10.000072424231657,8.316835308175275,7.466161245684573,10.21370112304867,10.928110370111865,5.982664518031527
2019-06-26 08:00:00+00:00,1.9926302215356282,9.643310954053614,7.946443771093772,7.1182248656846365,9.872839291536048,10.5678141891048,5.218427115357631
2019-06-26 09:00:00+00:00,1.9926302215356282,9.174988728900093,7.460229301976705,6.661487372109132,9.425388586379377,10.094851934746629,4.2152095852045885
2019-06-26 10:00:00+00:00,1.9926302215356282,9.545575022549905,7.844973839714454,7.022906595507223,9.779459116260055,10.469109912405917,5.009061865228375
2019-06-26 11:00:00+00:00,1.9926302215356282,9.335062966974302,7.626419174044076,6.817601906840119,9.57832886308788,10.256512151661225,4.558112981918882
2019-06-26 12:00:00+00:00,1.9926302215356282,8.586547524717144,6.849306709941636,6.087602242854446,8.863172194303198,9.50058059006216,2.9546789082605636
2019-06-26 13:00:00+00:00,1.9926302215356282,8.5182842938016,6.778435483258049,6.021027616844522,8.797951222141522,9.43164102270978,2.80844867138272
